,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
14698,36376,01,069,01,AL,069,Houston County,H1
14699,36401,01,035,01,AL,035,Conecuh County,H1
14700,36401,01,099,01,AL,099,Monroe County,H1
14701,36420,01,039,01,AL,039,Covington County,H1
14702,36420,01,053,01,AL,053,Escambia County,H1
14703,36421,01,035,01,AL,035,Conecuh County,H1
14704,36421,01,039,01,AL,039,Covington County,H1
14705,36425,01,099,01,AL,099,Monroe County,H1
14706,36426,01,035,01,AL,035,Conecuh County,H1
14707,36426,01,053,01,AL,053,Escambia County,H1
14708,36432,01,035,01,AL,035,Conecuh County,H1
14709,36432,01,053,01,AL,053,Escambia County,H1
14710,36435,01,131,01,AL,131,Wilcox County,H1
14711,36436,01,025,01,AL,025,Clarke County,H1
14712,36439,01,099,01,AL,099,Monroe County,H1
14713,36441,01,053,01,AL,053,Escambia County,H1
14714,36442,01,039,01,AL,039,Covington County,H1
14715,36442,01,061,01,AL,061,Geneva County,H1
14716,36444,01,099,01,AL,099,Monroe County,H1
14717,36445,01,099,01,AL,099,Monroe County,H1
14718,36446,01,025,01,AL,025,Clarke County,H1
14719,36451,01,025,01,AL,025,Clarke County,H1
14720,36453,01,031,01,AL,031,Coffee County,H1
14721,36453,01,039,01,AL,039,Covington County,H1
14722,36453,01,061,01,AL,061,Geneva County,H1
14723,36454,01,035,01,AL,035,Conecuh County,H1
14724,36455,01,039,01,AL,039,Covington County,H1
14725,36456,01,013,01,AL,013,Butler County,H1
14726,36456,01,035,01,AL,035,Conecuh County,H1
14727,36456,01,039,01,AL,039,Covington County,H1
14728,36460,01,035,01,AL,035,Conecuh County,H1
14729,36460,01,099,01,AL,099,Monroe County,H1
14730,36467,01,031,01,AL,031,Coffee County,H1
14731,36467,01,039,01,AL,039,Covington County,H1
14732,36470,01,099,01,AL,099,Monroe County,H1
14733,36471,01,035,01,AL,035,Conecuh County,H1
14734,36471,01,099,01,AL,099,Monroe County,H1
14735,36473,01,035,01,AL,035,Conecuh County,H1
14736,36474,01,013,01,AL,013,Butler County,H1
14737,36474,01,035,01,AL,035,Conecuh County,H1
14738,36474,01,039,01,AL,039,Covington County,H1
14739,36475,01,035,01,AL,035,Conecuh County,H1
14740,36475,01,099,01,AL,099,Monroe County,H1
14741,36476,01,039,01,AL,039,Covington County,H1
14742,36477,01,031,01,AL,031,Coffee County,H1
14743,36477,01,061,01,AL,061,Geneva County,H1
14744,36480,01,003,01,AL,003,Baldwin County,H1
14745,36480,01,099,01,AL,099,Monroe County,H1
14746,36481,01,099,01,AL,099,Monroe County,H1
14747,36481,01,131,01,AL,131,Wilcox County,H1
14748,36482,01,025,01,AL,025,Clarke County,H1
14749,36483,01,039,01,AL,039,Covington County,H1
14750,36483,01,053,01,AL,053,Escambia County,H1
14751,36502,01,003,01,AL,003,Baldwin County,H1
14752,36502,01,035,01,AL,035,Conecuh County,H1
14753,36502,01,053,01,AL,053,Escambia County,H1
14754,36502,01,099,01,AL,099,Monroe County,H1
14755,36505,01,097,01,AL,097,Mobile County,H1
14756,36507,01,003,01,AL,003,Baldwin County,H1
14757,36509,01,097,01,AL,097,Mobile County,H1
14758,36511,01,003,01,AL,003,Baldwin County,H1
14759,36512,01,097,01,AL,097,Mobile County,H1
14760,36513,01,097,01,AL,097,Mobile County,H1
14761,36513,01,129,01,AL,129,Washington County,H1
14762,36518,01,129,01,AL,129,Washington County,H1
14763,36521,01,097,01,AL,097,Mobile County,H1
14764,36522,01,097,01,AL,097,Mobile County,H1
14765,36522,01,129,01,AL,129,Washington County,H1
14766,36523,01,097,01,AL,097,Mobile County,H1
14767,36524,01,025,01,AL,025,Clarke County,H1
14768,36525,01,097,01,AL,097,Mobile County,H1
14769,36526,01,003,01,AL,003,Baldwin County,H1
14770,36527,01,003,01,AL,003,Baldwin County,H1
14771,36528,01,097,01,AL,097,Mobile County,H1
14772,36529,01,129,01,AL,129,Washington County,H1
14773,36530,01,003,01,AL,003,Baldwin County,H1
14774,36532,01,003,01,AL,003,Baldwin County,H1
14775,36535,01,003,01,AL,003,Baldwin County,H1
14776,36538,01,129,01,AL,129,Washington County,H1
14777,36539,01,129,01,AL,129,Washington County,H1
14778,36540,01,025,01,AL,025,Clarke County,H1
14779,36541,01,097,01,AL,097,Mobile County,H1
14780,36542,01,003,01,AL,003,Baldwin County,H1
14781,36543,01,053,01,AL,053,Escambia County,H1
14782,36544,01,097,01,AL,097,Mobile County,H1
